1,0
2,0
3,0
4,408
5,1
6,80
7,9
8,11
9,0
10,12
11,0
12,0
13,8
14,6
15,131
16,77
17,238
18,0
19,0
20,213
21,286
22,59
23,0
24,0
25,46
26,0
27,30
28,65
29,44
30,17
31,20
32,0
33,36
34,0
35,0
36,34
37,0
38,0
39,0
40,0
41,54
42,0
43,75
44,45
45,0
46,126
47,37
48,357
49,0
50,33
51,53
52,127
53,109
54,0
55,0
56,0
57,0
58,24
59,100
60,8
61,41
62,223
63,101
64,0
65,0
66,0
67,0
68,0
69,0
70,86
71,185
72,314
73,0
74,0
75,128
76,0
77,18
78,97
79,99
80,26
81,0
82,50
83,0
84,0
85,97
86,0
87,0
88,0
89,0
90,217
91,0
92,69
93,50
94,0
95,26
96,72
97,0
98,0
99,55
100,0
101,0
102,83
103,0
104,127
105,178
106,0
107,8
108,70
109,94
110,0
111,9
112,199
113,319
114,0
115,0
116,0
117,0
118,36
119,14
120,6
121,2
122,103
123,113
124,64
125,26
126,0
127,0
128,0
129,0
130,8
131,0
132,0
133,21
134,0
135,0
136,102
137,0
138,2
139,17
140,0
141,0
142,110
143,104
144,78
145,67
146,65
147,314
148,64
149,70
150,0
151,13
152,0
153,89
154,0
155,0
156,101
157,40
158,0
159,0
160,0
161,0
162,30
163,98
164,0
165,43
166,0
167,56
168,136
169,22
170,20
171,99
172,0
173,119
174,0
175,25
176,86
177,43
178,1
179,222
180,120
181,0
182,42
183,197
184,0
185,69
186,232
187,141
188,0
189,0
190,46
191,294
192,2
193,0
194,0
195,303
196,0
197,0
198,70
199,196
200,6
201,0
202,17
203,150
204,208
205,63
206,0
207,2
208,0
209,0
210,0
211,0
212,16
213,0
214,53
215,39
216,51
217,16
218,0
219,0
220,0
221,0
222,0
223,0
224,157
225,8
226,0
227,45
228,0
229,0
230,70
231,93
232,0
233,37
234,50
235,177
236,133
237,27
238,63
239,178
240,4
241,93
242,183
243,0
244,0
245,153
246,259
247,0
248,75
249,0
250,0
251,0
252,0
253,0
254,0
255,118
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,39
264,19
265,0
266,0
267,379
268,0
269,34
270,0
271,32
272,171
273,68
274,132
275,120
276,0
277,311
278,25
279,44
280,0
281,8
282,0
283,15
284,104
285,25
286,8
287,2
288,0
289,131
290,0
291,0
292,22
293,25
294,179
295,175
296,115
297,240
298,59
299,17
300,1
301,76
302,0
303,0
304,278
305,56
306,10
307,0
308,90
309,177
310,41
311,0
312,0
313,30
314,0
315,0
316,0
317,0
318,55
319,0
320,0
321,0
322,34
323,70
324,0
325,126
326,61
327,0
328,22
329,218
330,107
331,550
332,0
333,136
334,724
335,42
336,0
337,0
338,132
339,0
340,69
341,325
342,0
343,0
344,4
345,70
346,65
347,2
348,0
349,0
350,81
351,0
352,0
353,352
354,54
355,219
356,172
357,0
358,2
359,156
360,250
361,233
362,0
363,6
364,106
365,0
366,242
367,60
368,345
369,8
370,287
371,63
372,204
373,22
374,6
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,118
383,0
384,29
385,195
386,89
387,38
388,28
389,45
390,248
391,83
392,0
393,0
394,80
395,0
396,0
397,79
398,0
399,61
400,302
401,0
402,69
403,0
404,8
405,0
406,0
407,18
408,393
409,66
410,0
411,58
412,70
413,0
414,0
415,181
416,9
417,43
418,53
419,4
420,0
421,40
422,24
423,73
424,0
425,12
426,262
427,66
428,58
429,147
430,0
431,0
432,51
433,0
434,0
435,0
436,0
437,10
438,24
439,0
440,0
441,240
442,0
443,32
444,139
445,77
446,0
447,0
448,0
449,15
450,0
451,8
452,78
453,0
454,2
455,39
456,0
457,17
458,0
459,117
460,77
461,24
462,58
463,0
464,100
465,14
466,13
467,76
468,50
469,0
470,0
471,55
472,153
473,4
474,6
475,79
476,61
477,22
478,0
479,135
480,10
481,0
482,0
483,35
484,113
485,46
486,15
487,98
488,270
489,158
490,18
491,290
492,0
493,0
494,0
495,0
496,0
497,0
498,251
499,0
500,326
501,0
502,72
503,141
504,54
505,9
506,66
507,0
508,17
509,0
510,97
511,25
512,50
513,56
514,6
515,0
516,120
517,0
518,4
519,14
520,0
521,32
522,0
523,0
524,30
525,0
526,3
527,0
528,10
529,14
530,37
531,2
532,0
533,4
534,0
535,11
536,0
537,0
538,1
539,26
540,0
541,0
542,0
543,17
544,0
545,0
546,0
547,362
548,3
549,0
550,0
551,2
552,28
553,0
554,313
555,0
556,10
557,223
558,0
559,107
560,94
561,15
562,0
563,0
564,13
565,17
566,0
567,0
568,67
569,0
570,54
571,9
572,572
573,102
574,0
575,5
576,0
577,44
578,296
579,442
580,90
581,253
582,268
583,0
584,25
585,0
586,0
587,0
588,0
589,10
590,0
591,0
592,17
593,0
594,0
595,63
596,325
597,117
598,44
599,0
600,27
601,241
602,68
603,106
604,35
605,95
606,24
607,0
608,0
609,6
610,0
611,23
612,0
613,0
614,213
615,27
616,0
617,0
618,0
619,0
620,0
621,172
622,0
623,0
